カテゴリ,サブカテゴリ,問題番号,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
8. AIに必要な数理・統計知識,8.3 微分・最適化,231,機械学習における勾配降下法の基本的な考え方として最も適切なものはどれか？,目的関数の勾配方向に沿ってパラメータを更新し、最小値を探索する,目的関数の値をランダムに変化させて最小値を探索する,目的関数の二次導関数を用いて最小値を直接計算する,目的関数の値が最大になるようにパラメータを更新する,A
8. AIに必要な数理・統計知識,8.3 微分・最適化,232,偏微分の説明として最も適切なものはどれか？,一変数関数の導関数,多変数関数において、一部の変数のみを変化させたときの変化率,関数の二階導関数,関数の積分,B
8. AIに必要な数理・統計知識,8.3 微分・最適化,233,凸最適化問題の特徴として最も適切なものはどれか？,常に解析的に解を求められる,局所的最適解が大域的最適解でもある,常に一意の解が存在する,非線形計画法でしか解けない,B
8. AIに必要な数理・統計知識,8.3 微分・最適化,234,ラグランジュ乗数法の主な用途として最も適切なものはどれか？,微分方程式を解く,制約付き最適化問題を解く,確率分布のパラメータを推定する,行列の固有値を計算する,B
8. AIに必要な数理・統計知識,8.3 微分・最適化,235,ニュートン法とは何か？,一次導関数のみを用いる最適化アルゴリズム,二次導関数も利用する高速な最適化アルゴリズム,導関数を用いない最適化アルゴリズム,確率的な最適化アルゴリズム,B
9. AIの法律・倫理,9.1 AIと倫理,236,AIシステムの「説明可能性」が重要視される理由として最も適切なものはどれか？,システムの処理速度を向上させるため,意思決定プロセスの透明性を確保し、信頼性を高めるため,データ収集コストを削減するため,プログラムのバグを減らすため,B
9. AIの法律・倫理,9.1 AIと倫理,237,AIにおける「バイアス」の問題の説明として最も適切なものはどれか？,AIシステムの処理速度が遅くなる問題,AIシステムが特定のグループに対して不公平な結果を出す問題,AIシステムのメモリ使用量が多くなる問題,AIシステムの開発コストが高くなる問題,B
9. AIの法律・倫理,9.1 AIと倫理,238,AIの公平性を評価する際の観点として最も適切でないものはどれか？,集団公平性（異なるグループ間で同様の結果が得られるか）,個人公平性（類似した個人に類似した結果が得られるか）,処理公平性（意思決定プロセスが公平か）,計算公平性（計算リソースの使用が公平か）,D
9. AIの法律・倫理,9.1 AIと倫理,239,AIシステムの「透明性」を高めるアプローチとして最も適切でないものはどれか？,説明可能なAIモデルの採用,意思決定プロセスの文書化,モデルの内部構造の公開,より複雑なブラックボックスモデルの使用,D
9. AIの法律・倫理,9.1 AIと倫理,240,AIの倫理的設計原則として国際的に広く認められているものはどれか？,常に最高の精度を追求すべき,人間の自律性と尊厳を尊重すべき,常に最新のアルゴリズムを採用すべき,開発コストを最小化すべき,B
9. AIの法律・倫理,9.1 AIと倫理,241,AIシステムの「アカウンタビリティ」の説明として最も適切なものはどれか？,システムの計算能力,システムの学習能力,システムの動作に対する責任の所在と説明責任,システムの市場価値,C
9. AIの法律・倫理,9.1 AIと倫理,242,「責任あるAI」の実践として最も適切でないものはどれか？,多様なステークホルダーの参加,継続的なモニタリングと評価,透明性と説明可能性の確保,開発速度の最大化,D
9. AIの法律・倫理,9.1 AIと倫理,243,AIの倫理的問題に対処するための「倫理的インパクトアセスメント」の目的として最も適切なものはどれか？,AIシステムの市場価値を評価する,AIシステムの潜在的な倫理的・社会的影響を事前に評価し対策を講じる,AIシステムの計算効率を評価する,AIシステムの学習速度を評価する,B
9. AIの法律・倫理,9.1 AIと倫理,244,AIの「デュアルユース問題」の説明として最も適切なものはどれか？,同じAI技術が有益な目的と有害な目的の両方に使用できる問題,AIシステムが二つの異なるハードウェアで動作する問題,AIシステムが二つの異なる言語を処理する問題,AIシステムが二人の異なるユーザーに対応する問題,A
9. AIの法律・倫理,9.2 AIと法律,245,日本におけるAI開発ガイドラインを策定している政府機関はどれか？,経済産業省,文部科学省,厚生労働省,国土交通省,A
9. AIの法律・倫理,9.2 AIと法律,246,個人情報保護法におけるAI学習用データの取り扱いとして最も適切なものはどれか？,AIの学習には個人情報保護法は適用されない,個人情報を含むデータを学習に使用する場合、適切な同意取得や匿名化などの対応が必要,AIの学習には必ず匿名データのみを使用しなければならない,AIの学習には常に本人の明示的な同意が必要,B
9. AIの法律・倫理,9.2 AIと法律,247,AIシステムによる自動決定に関するEU一般データ保護規則（GDPR）の規定として最も適切なものはどれか？,自動決定は常に禁止されている,自動決定は常に許可されている,重要な決定に関しては、人間の関与を求める権利が認められている,自動決定は政府機関のみ許可されている,C
9. AIの法律・倫理,9.2 AIと法律,248,AIシステムの開発者の法的責任として最も適切でないものはどれか？,製造物責任法に基づく責任,契約上の責任,不法行為責任,すべてのAI関連事故に対する無過失責任,D
9. AIの法律・倫理,9.2 AIと法律,249,AIによる創作物の著作権に関する現在の一般的な法的解釈として最も適切なものはどれか？,AIによる創作物には常に著作権が発生する,AIによる創作物には著作権が発生しない,AIによる創作物の著作権は常にAIに帰属する,各国の法制度により異なるが、人間の創作的寄与の度合いが重要な判断基準となる,D
9. AIの法律・倫理,9.2 AIと法律,250,AIシステムの特許に関する説明として最も適切なものはどれか？,AIアルゴリズム自体は特許の対象とならない国が多い,AIに関する特許は取得できない,AIに関する特許はすべての国で統一的に保護されている,AIに関する特許は無期限に保護される,A
9. AIの法律・倫理,9.2 AIと法律,251,AIシステムによる差別的取扱いが法的問題となる根拠として最も適切なものはどれか？,著作権法違反,特許法違反,憲法や差別禁止法などの平等原則違反,商標法違反,C
9. AIの法律・倫理,9.2 AIと法律,252,自動運転車の事故における法的責任の所在として、現在の法制度で最も一般的な考え方はどれか？,常に自動運転システムの開発者が全責任を負う,常に車の所有者が全責任を負う,責任の所在は自動運転レベルや状況により異なり、運転者、メーカー、ソフトウェア提供者など複数の関係者間で分担される,自動運転車の事故には誰も責任を負わない,C
9. AIの法律・倫理,9.2 AIと法律,253,AIシステムのセキュリティ脆弱性に関する開発者の法的義務として最も適切なものはどれか？,脆弱性は存在しないシステムを開発する絶対的義務,脆弱性が発見された場合の適切な対応と、合理的なセキュリティ対策を講じる義務,セキュリティに関する法的義務は存在しない,政府機関にすべての脆弱性を報告する義務,B
9. AIの法律・倫理,9.2 AIと法律,254,AIガバナンスの国際的枠組みとして最も適切でないものはどれか？,OECDのAI原則,EUのAI規制法案,国連のAI倫理ガイドライン,世界AI競争法,D
9. AIの法律・倫理,9.3 AIと社会,255,AIの社会実装における「人間中心のAI」の考え方として最も適切なものはどれか？,AIが人間の能力を超えることを目指す,人間の価値観や福祉を中心に据え、人間をサポートするAIを開発する,人間がAIの決定に常に従うべきという考え方,AIの開発は人間のみが行うべきという考え方,B
9. AIの法律・倫理,9.3 AIと社会,256,AIによる雇用への影響に関する一般的な見解として最も適切なものはどれか？,すべての職種が完全に自動化される,AIは雇用に全く影響を与えない,一部の職種は自動化されるが、新たな職種も創出される,サービス業のみが自動化される,C
9. AIの法律・倫理,9.3 AIと社会,257,AIの社会的受容性を高めるために重要な要素として最も適切でないものはどれか？,透明性と説明可能性,プライバシーの保護,公平性と非差別,常に最高の精度を追求すること,D
9. AIの法律・倫理,9.3 AIと社会,258,AIの「デジタルデバイド」問題の説明として最も適切なものはどれか？,AIシステム間の互換性の問題,AIへのアクセスや恩恵における社会集団間の格差,デジタル機器の故障率の問題,AIの計算能力の限界,B
9. AIの法律・倫理,9.3 AIと社会,259,AIの社会実装における「ステークホルダーエンゲージメント」の重要性として最も適切なものはどれか？,開発コストを削減するため,開発速度を向上させるため,多様な視点を取り入れ、社会的受容性を高めるため,マーケティング効果を高めるため,C
9. AIの法律・倫理,9.3 AIと社会,260,AIの「フィルターバブル」問題の説明として最も適切なものはどれか？,AIシステムのフィルタリング機能が故障する問題,AIによるコンテンツ推薦が個人の既存の信念や好みを強化し、多様な情報への接触を制限する問題,AIシステムのメモリ使用量が多くなる問題,AIシステムの処理速度が低下する問題,B
9. AIの法律・倫理,9.3 AIと社会,261,AIの「監視社会」問題に関する懸念として最も適切なものはどれか？,AIシステムの計算コストが高くなる問題,AIシステムの精度が低下する問題,AIを用いた広範な監視がプライバシーや自由を侵害する可能性,AIシステムの開発コストが高くなる問題,C
9. AIの法律・倫理,9.3 AIと社会,262,AIの「フェイクニュース」問題への対策として最も適切でないものはどれか？,メディアリテラシー教育の強化,AIを用いたフェイクニュース検出技術の開発,プラットフォーム事業者の責任強化,インターネット上のすべてのコンテンツの事前審査,D
9. AIの法律・倫理,9.3 AIと社会,263,AIの「軍事利用」に関する倫理的議論として最も適切なものはどれか？,軍事利用は常に倫理的に問題ない,軍事利用は常に倫理的に問題がある,自律型致死兵器システムの開発と使用に関する国際的な規制の必要性が議論されている,軍事利用に関する倫理的議論は存在しない,C
9. AIの法律・倫理,9.3 AIと社会,264,AIの「持続可能な開発目標（SDGs）」への貢献として最も適切でないものはどれか？,気候変動対策のためのデータ分析,医療アクセス向上のための診断支援,教育格差解消のためのパーソナライズド学習,天然資源の無制限な採掘の促進,D
9. AIの法律・倫理,9.4 AIと情報セキュリティ,265,AIシステムのセキュリティ脅威として最も適切でないものはどれか？,敵対的攻撃（Adversarial Attack）,データポイズニング,モデル抽出攻撃,ハードウェアの物理的破壊,D
9. AIの法律・倫理,9.4 AIと情報セキュリティ,266,「敵対的攻撃（Adversarial Attack）」の説明として最も適切なものはどれか？,AIシステムのハードウェアを物理的に攻撃すること,AIシステムを騙すように設計された入力データを用いる攻撃,AIシステムの開発者を脅迫すること,AIシステムのソースコードを盗むこと,B
9. AIの法律・倫理,9.4 AIと情報セキュリティ,267,「データポイズニング」の説明として最も適切なものはどれか？,AIの学習データに悪意のあるデータを混入させる攻撃,AIシステムのメモリを過負荷にする攻撃,AIシステムのハードウェアを破壊する攻撃,AIシステムの出力データを改ざんする攻撃,A
9. AIの法律・倫理,9.4 AIと情報セキュリティ,268,AIシステムのプライバシー保護技術として最も適切でないものはどれか？,連合学習（Federated Learning）,差分プライバシー（Differential Privacy）,秘密計算（Secure Multi-party Computation）,公開鍵暗号化のみの使用,D
9. AIの法律・倫理,9.4 AIと情報セキュリティ,269,AIシステムの「モデル抽出攻撃」の説明として最も適切なものはどれか？,AIモデルのパラメータを物理的に抽出する攻撃,AIモデルのAPIに多数のクエリを送信し、モデルの動作を模倣するモデルを構築する攻撃,AIモデルのハードウェアを破壊する攻撃,AIモデルの開発者のパスワードを盗む攻撃,B
9. AIの法律・倫理,9.4 AIと情報セキュリティ,270,AIシステムのセキュリティ対策として最も適切でないものはどれか？,敵対的訓練（Adversarial Training）,入力検証と異常検知,モデルの堅牢性評価,すべての学習データの公開,D
9. AIの法律・倫理,9.4 AIと情報セキュリティ,271,AIシステムの「メンバーシップ推論攻撃」の説明として最も適切なものはどれか？,特定のデータがモデルの訓練に使用されたかどうかを推測する攻撃,AIシステムのメンバーシップ情報を盗む攻撃,AIシステムのユーザーアカウントを乗っ取る攻撃,AIシステムの開発チームのメンバー情報を盗む攻撃,A
9. AIの法律・倫理,9.4 AIと情報セキュリティ,272,AIシステムの「モデル反転攻撃」の説明として最も適切なものはどれか？,AIモデルを物理的に反転させる攻撃,AIモデルの出力から訓練データの特徴を復元する攻撃,AIモデルの動作を逆転させる攻撃,AIモデルのパラメータの符号を反転させる攻撃,B
9. AIの法律・倫理,9.4 AIと情報セキュリティ,273,AIシステムのセキュリティ評価において重要な観点として最も適切でないものはどれか？,堅牢性（Robustness）,完全性（Integrity）,機密性（Confidentiality）,開発速度（Development Speed）,D
9. AIの法律・倫理,9.4 AIと情報セキュリティ,274,AIセキュリティの国際標準化を進めている組織として最も適切なものはどれか？,FIFA,ISO/IEC,WHO,IMF,B
9. AIの法律・倫理,9.5 AIと知的財産,275,AIシステムの学習データに関する著作権の取り扱いとして、日本の現行法制度における一般的な解釈はどれか？,AIの学習のためのデータ利用は常に著作権侵害となる,AIの学習のためのデータ利用は常に著作権侵害とならない,一定の条件下でAIの学習目的のデータ利用が認められる（著作権法第30条の4など）,AIの学習に関する著作権法の規定は存在しない,C
9. AIの法律・倫理,9.5 AIと知的財産,276,AIによる生成物の著作権に関する国際的な議論の焦点として最も適切なものはどれか？,AIによる生成物には常に著作権が発生するという考え方,AIによる生成物には常に著作権が発生しないという考え方,人間の創作的寄与の度合いによって著作権の発生や帰属が決まるという考え方,AIによる生成物の著作権は常にAI自身に帰属するという考え方,C
9. AIの法律・倫理,9.5 AIと知的財産,277,AIシステム自体の特許保護に関する一般的な考え方として最も適切なものはどれか？,AIアルゴリズム自体は抽象的なアイデアとして特許保護の対象外となる場合が多い,AIアルゴリズムは常に特許保護の対象となる,AIに関する特許は取得できない,AIに関する特許は無期限に保護される,A
9. AIの法律・倫理,9.5 AIと知的財産,278,AIによる発明の特許出願に関する国際的な議論の焦点として最も適切なものはどれか？,AIによる発明は常に特許の対象となるという考え方,AIによる発明は常に特許の対象とならないという考え方,発明者としてAIを認めるかどうかという問題,AIによる発明の特許権は常にAI自身に帰属するという考え方,C
9. AIの法律・倫理,9.5 AIと知的財産,279,AIシステムの開発における「オープンソース」の利点として最も適切でないものはどれか？,知識の共有と技術の発展促進,開発コストの削減,透明性の向上,常に最高レベルのセキュリティ保証,D
9. AIの法律・倫理,9.5 AIと知的財産,280,AIシステムの「営業秘密」保護に関する説明として最も適切なものはどれか？,AIアルゴリズムは常に営業秘密として保護される,AIアルゴリズムは営業秘密として保護できない,秘密管理性、有用性、非公知性の要件を満たすAI関連情報は営業秘密として保護される,AIに関する営業秘密保護の法的枠組みは存在しない,C
9. AIの法律・倫理,9.5 AIと知的財産,281,AIシステムの「データ所有権」に関する現在の法的状況として最も適切なものはどれか？,データそのものに明確な所有権が認められている,データそのものには所有権が認められず、契約やアクセス制限などで保護される場合が多い,すべてのデータは公共財として扱われる,データの所有権は常にデータ生成者に帰属する,B
9. AIの法律・倫理,9.5 AIと知的財産,282,AIシステムの「ライセンス」に関する説明として最も適切でないものはどれか？,オープンソースAIライブラリには様々なライセンス条件がある,商用AIシステムは通常、利用条件を定めたライセンス契約の下で提供される,ライセンス違反は法的責任を生じさせる可能性がある,AIシステムのライセンスは法的拘束力を持たない,D
9. AIの法律・倫理,9.5 AIと知的財産,283,AIシステムの「パテントプール」の説明として最も適切なものはどれか？,AIに関するすべての特許を無効化する仕組み,複数の特許権者がそれぞれの特許をライセンスし合う仕組み,AIの特許出願を一時的に停止する仕組み,AIの特許権を政府が買い上げる仕組み,B
9. AIの法律・倫理,9.5 AIと知的財産,284,AIシステムの「標準必須特許（SEP）」の説明として最も適切なものはどれか？,AIに関するすべての特許,最も価値の高いAI特許,技術標準を実施するために不可欠な特許,政府が認定したAI特許,C
9. AIの法律・倫理,9.6 AIと個人情報保護,285,日本の個人情報保護法におけるAI学習データの取り扱いとして最も適切なものはどれか？,AIの学習には個人情報保護法は適用されない,個人情報を含むデータをAIの学習に使用する場合、原則として本人の同意が必要,AIの学習には匿名加工情報のみを使用しなければならない,AIの学習目的であれば、どのような個人情報も自由に利用できる,B
9. AIの法律・倫理,9.6 AIと個人情報保護,286,EU一般データ保護規則（GDPR）における「プロファイリング」の規制に関する説明として最も適切なものはどれか？,プロファイリングは常に禁止されている,プロファイリングは常に許可されている,重要な決定に関するプロファイリングについて、異議申立権や人間の介入を求める権利などが認められている,プロファイリングはEU域外の企業には適用されない,C
9. AIの法律・倫理,9.6 AIと個人情報保護,287,AIシステムにおける「データ最小化の原則」の説明として最も適切なものはどれか？,できるだけ多くのデータを収集すべきという原則,目的に必要な最小限のデータのみを収集・処理すべきという原則,データサイズを物理的に最小化すべきという原則,データ処理の頻度を最小化すべきという原則,B
9. AIの法律・倫理,9.6 AIと個人情報保護,288,AIシステムにおける「プライバシー・バイ・デザイン」の考え方として最も適切なものはどれか？,システム開発の最終段階でプライバシー対策を追加する,システム設計の初期段階からプライバシー保護を組み込む,プライバシーに関する法的要件を最小限満たす,プライバシー保護よりもシステムの機能性を優先する,B
9. AIの法律・倫理,9.6 AIと個人情報保護,289,AIシステムにおける「仮名化」と「匿名化」の違いとして最も適切なものはどれか？,仮名化は個人を特定できなくするが、匿名化は個人を特定できる,仮名化は追加情報を用いれば再識別可能だが、匿名化は再識別が不可能または極めて困難,仮名化は法的規制の対象外だが、匿名化は法的規制の対象,仮名化と匿名化に法的な違いはない,B
9. AIの法律・倫理,9.6 AIと個人情報保護,290,AIシステムにおける「データポータビリティの権利」の説明として最も適切なものはどれか？,個人が自分のデータを他のサービスに移行できる権利,企業がデータを国境を越えて移転できる権利,AIシステムがデータを自動的に転送する機能,データを物理的に持ち運ぶ権利,A
9. AIの法律・倫理,9.6 AIと個人情報保護,291,AIシステムにおける「忘れられる権利」の説明として最も適切なものはどれか？,AIシステムが情報を忘れる能力,個人が自分に関するデータの削除を要求できる権利,企業がデータを定期的に削除する義務,AIシステムの記憶容量の制限,B
9. AIの法律・倫理,9.6 AIと個人情報保護,292,AIシステムにおける「データ保護影響評価（DPIA）」の目的として最も適切なものはどれか？,データ処理の経済的影響を評価する,データ処理がプライバシーに与えるリスクを事前に評価し対策を講じる,データ処理の技術的効率性を評価する,データ処理の市場競争力を評価する,B
9. AIの法律・倫理,9.6 AIと個人情報保護,293,AIシステムにおける「越境データ移転」の規制に関する説明として最も適切なものはどれか？,データの国際移転は常に禁止されている,データの国際移転は常に自由に行える,多くの国・地域では、一定の保護水準を満たす場合にのみデータの国際移転が認められる,データの国際移転に関する規制は存在しない,C
9. AIの法律・倫理,9.6 AIと個人情報保護,294,AIシステムにおける「同意」の要件として最も適切でないものはどれか？,自由に与えられたものであること,特定の目的に対するものであること,情報を与えられた上でのものであること,一度与えた同意は撤回できないこと,D
9. AIの法律・倫理,9.7 AIガバナンス,295,「AIガバナンス」の定義として最も適切なものはどれか？,AIシステムの開発・運用・利用を適切に管理・監督するための枠組み,AIシステムの技術的性能を向上させるための手法,AIシステムの市場シェアを拡大するための戦略,AIシステムの開発コストを削減するための方法,A
9. AIの法律・倫理,9.7 AIガバナンス,296,AIガバナンスの国際的枠組みとして最も適切でないものはどれか？,OECDのAI原則,EUのAI規制法案,IEEE倫理的に調和したデザイン,世界AI統治条約,D
9. AIの法律・倫理,9.7 AIガバナンス,297,日本政府のAI社会原則の基本理念として含まれないものはどれか？,人間中心のAI社会,教育・リテラシーの強化,プライバシー確保,技術優先主義,D
9. AIの法律・倫理,9.7 AIガバナンス,298,「AI倫理ガイドライン」の役割として最も適切なものはどれか？,法的拘束力のある規制を課す,AIの技術的性能基準を定める,AIの開発・利用における倫理的原則や行動指針を提供する,AIの市場価格を規制する,C
9. AIの法律・倫理,9.7 AIガバナンス,299,AIガバナンスにおける「マルチステークホルダーアプローチ」の説明として最も適切なものはどれか？,複数のAIシステムを同時に管理する方法,政府、企業、市民社会、技術者など多様な関係者が参加する協調的なガバナンス,複数の国が共同でAIを開発する方法,複数の言語でAIシステムを提供する方法,B
9. AIの法律・倫理,9.7 AIガバナンス,300,AIガバナンスにおける「リスクベースアプローチ」の説明として最も適切なものはどれか？,常にリスクを避けるアプローチ,AIシステムのリスクレベルに応じて規制の厳格さを調整するアプローチ,リスクの高いAIシステムの開発を禁止するアプローチ,リスク評価を行わないアプローチ,B
9. AIの法律・倫理,9.7 AIガバナンス,301,AIガバナンスにおける「自主規制」と「法的規制」の関係として最も適切なものはどれか？,自主規制と法的規制は常に対立する,自主規制は不要で、法的規制のみが効果的,法的規制は不要で、自主規制のみが効果的,自主規制と法的規制は補完的な役割を果たすことが多い,D
9. AIの法律・倫理,9.7 AIガバナンス,302,AIガバナンスにおける「アルゴリズム影響評価」の目的として最も適切なものはどれか？,アルゴリズムの計算効率を評価する,アルゴリズムの社会的・倫理的影響を事前に評価し対策を講じる,アルゴリズムの市場価値を評価する,アルゴリズムの技術的新規性を評価する,B
9. AIの法律・倫理,9.7 AIガバナンス,303,AIガバナンスにおける「認証・標準化」の役割として最も適切なものはどれか？,AIシステムの市場価格を統一する,AIシステムの品質、安全性、信頼性などを客観的に評価・保証する枠組みを提供する,AIシステムの開発を一つの企業に独占させる,AIシステムの技術革新を抑制する,B
9. AIの法律・倫理,9.7 AIガバナンス,304,AIガバナンスにおける「透明性レポート」の目的として最も適切なものはどれか？,AIシステムの財務状況を公開する,AIシステムの技術的詳細をすべて公開する,AIシステムの利用状況、影響、対策などに関する情報を定期的に公開する,AIシステムの市場シェアを公開する,C
9. AIの法律・倫理,9.8 AIと人間社会,305,AIと人間の協働に関する考え方として最も適切なものはどれか？,AIは常に人間の指示に従うべき,人間はAIの判断に常に従うべき,AIと人間がそれぞれの強みを活かして補完し合う関係が理想的,AIと人間は常に競争関係にあるべき,C
9. AIの法律・倫理,9.8 AIと人間社会,306,AIによる自動化が雇用に与える影響に関する一般的な見解として最も適切なものはどれか？,すべての職種が完全に自動化される,AIは雇用に全く影響を与えない,定型的なタスクは自動化されやすいが、創造性や対人スキルを要する職種は比較的影響が少ない,サービス業のみが自動化される,C
9. AIの法律・倫理,9.8 AIと人間社会,307,AIリテラシーの重要性として最も適切なものはどれか？,すべての人がAIプログラミングを習得すべき,AIの基本的な仕組みや限界を理解し、適切に活用・評価する能力が社会全体に必要,AIリテラシーは技術者のみに必要,AIリテラシーは不要になりつつある,B
9. AIの法律・倫理,9.8 AIと人間社会,308,AIの「フィルターバブル」と「エコーチェンバー」の問題に共通する懸念として最も適切なものはどれか？,AIシステムの計算コストが高くなる問題,多様な情報や視点への接触が制限され、偏った見方が強化される可能性,AIシステムの精度が低下する問題,AIシステムのメモリ使用量が増加する問題,B
9. AIの法律・倫理,9.8 AIと人間社会,309,AIによる創造性支援ツールの社会的影響として最も適切でないものはどれか？,創作活動のハードルを下げる可能性,新たな表現形式の創出,著作権や帰属の問題の複雑化,人間の創造性の完全な代替,D
9. AIの法律・倫理,9.8 AIと人間社会,310,AIと人間の意思決定の関係として最も適切なものはどれか？,重要な意思決定はすべてAIに委ねるべき,AIは意思決定に全く関与すべきでない,AIは意思決定を支援するツールとして活用し、最終判断には人間の関与が重要,AIと人間は常に同じ意思決定をすべき,C
9. AIの法律・倫理,9.8 AIと人間社会,311,AIの「説明責任」が特に重要となる分野として最も適切でないものはどれか？,医療診断,司法判断,金融審査,単純な画像分類,D
9. AIの法律・倫理,9.8 AIと人間社会,312,AIの社会実装における「インクルージョン（包摂性）」の重要性として最も適切なものはどれか？,できるだけ多くのAIシステムを導入すること,多様な人々がAIの恩恵を受けられるよう、アクセシビリティや公平性に配慮すること,AIシステムの機能をできるだけ多くすること,AIシステムの価格をできるだけ安くすること,B
9. AIの法律・倫理,9.8 AIと人間社会,313,AIの「人間拡張（Human Augmentation）」の考え方として最も適切なものはどれか？,AIが人間を支配する概念,AIが人間の能力を補完・拡張する概念,人間がAIを完全にコントロールする概念,人間とAIの対立関係を表す概念,B
9. AIの法律・倫理,9.8 AIと人間社会,314,AIの社会的受容性を高めるために重要な要素として最も適切でないものはどれか？,透明性と説明可能性,公平性と非差別,プライバシーの保護,技術的複雑性の追求,D
9. AIの法律・倫理,9.9 AIと持続可能性,315,"AIの法律・倫理

## 9.1 AIと倫理

1. AIの倫理的課題として最も適切でないものはどれか？",プライバシーの侵害,意思決定の透明性の欠如,バイアスと差別,計算効率の低下,D
9. AIの法律・倫理,9.9 AIと持続可能性,316,AIと持続可能な開発目標（SDGs）の関係として最も適切なものはどれか？,AIはSDGsの達成に貢献することも、阻害することもある,AIはSDGsの達成に常に貢献する,AIはSDGsの達成を常に阻害する,AIとSDGsには関連性がない,A
9. AIの法律・倫理,9.9 AIと持続可能性,317,AIの環境影響として考慮すべき要素として最も適切でないものはどれか？,大規模モデルの学習・推論に伴うエネルギー消費,データセンターの冷却に必要な水資源,電子機器の製造・廃棄に伴う環境負荷,AIの開発者の通勤手段,D
9. AIの法律・倫理,9.9 AIと持続可能性,318,AIの「グリーンAI」の考え方として最も適切なものはどれか？,環境問題解決のためのAI活用,計算効率と環境負荷を考慮したAI開発,緑色のインターフェースを持つAI,農業分野専用のAI,B
9. AIの法律・倫理,9.9 AIと持続可能性,319,AIの環境モニタリングへの応用例として最も適切でないものはどれか？,衛星画像からの森林減少検出,センサーデータからの大気汚染予測,野生動物の個体数推定,株価予測,D
9. AIの法律・倫理,9.9 AIと持続可能性,320,AIのエネルギー効率を向上させるアプローチとして最も適切でないものはどれか？,モデルの軽量化・圧縮,効率的なハードウェアの開発,より大規模なモデルの構築,計算リソースの最適化,C
9. AIの法律・倫理,9.9 AIと持続可能性,321,AIの「持続可能な消費と生産」への貢献例として最も適切でないものはどれか？,サプライチェーン最適化による資源効率向上,予測メンテナンスによる製品寿命延長,需要予測による廃棄物削減,消費を促進するための個人向け広告の最適化,D
9. AIの法律・倫理,9.9 AIと持続可能性,322,AIの「気候変動対策」への貢献例として最も適切でないものはどれか？,再生可能エネルギーの発電量予測,建物のエネルギー効率最適化,気候モデルの精度向上,化石燃料採掘の効率化,D
9. AIの法律・倫理,9.9 AIと持続可能性,323,AIの「持続可能な都市」への貢献例として最も適切でないものはどれか？,スマートグリッドによるエネルギー管理,交通流最適化による渋滞・排出ガス削減,都市計画のシミュレーション,監視カメラの無制限な増設,D
9. AIの法律・倫理,9.9 AIと持続可能性,324,AIの「持続可能性評価」の重要性として最も適切なものはどれか？,AIシステムの環境・社会・経済的影響を総合的に評価し、持続可能な開発に貢献することを確認する,AIシステムの市場価値のみを評価する,AIシステムの技術的性能のみを評価する,AIシステムの開発コストのみを評価する,A
9. AIの法律・倫理,9.9 AIと持続可能性,325,AIの「循環経済」への貢献例として最も適切でないものはどれか？,製品設計の最適化による資源効率向上,廃棄物の分別・リサイクル自動化,製品の再利用・修理可能性の向上,使い捨て製品の販売促進,D
